Date,Open,High,Low,Close,Adj Close,Volume
27-05-2024,174.88,178.81,173.24,176.83,176.83,52190159
28-05-2024,178.22,178.45,173.52,176.09,176.09,64209216
29-05-2024,176.56,177.19,173.9,174.52,174.52,57903547
30-05-2024,173.02,174.67,167.43,167.93,167.93,48252549
31-05-2024,166.74,167.98,162.99,164.96,164.96,55810338
03-06-2024,164.52,166.08,159.8,160.35,160.35,56331071
04-06-2024,160.11,161.81,157.37,158.5,158.5,54838033
05-06-2024,159.15,160.01,153.94,155.23,155.23,40349876
06-06-2024,155.38,157.64,149.39,151.18,151.18,63861598
07-06-2024,151.09,152.75,150.37,151.77,151.77,51386755
10-06-2024,152.58,153.33,149.16,150.45,150.45,58889007
11-06-2024,149.94,150.1,147.51,149.37,149.37,62340115
12-06-2024,150.06,154.32,149.76,152.52,152.52,44929389
13-06-2024,152.78,153.64,151.37,151.66,151.66,66706541
14-06-2024,150.75,152.44,146.9,148.38,148.38,54135878
17-06-2024,148.64,153.19,147.33,151.43,151.43,47258562
18-06-2024,152.61,153.88,150.34,151.4,151.4,56044564
19-06-2024,151.47,153.54,149.89,150.57,150.57,31149173
20-06-2024,150.18,155.74,149.86,155.09,155.09,45298076
21-06-2024,155.8,157.71,153.06,153.61,153.61,58945013
24-06-2024,154.36,156.26,151.9,153.99,153.99,46575362
25-06-2024,153.69,155.6,151.06,153.06,153.06,37437820
26-06-2024,152.88,154.2,152.25,153.15,153.15,50887425
27-06-2024,153.02,154.29,149.13,150.77,150.77,59848610
28-06-2024,150.71,153.81,150.03,151.62,151.62,31974745
01-07-2024,151.67,151.93,150.87,151.61,151.61,84558905
02-07-2024,151.84,152.3,149.92,151.11,151.11,68713873
03-07-2024,151.7,154.4,150.21,153.46,153.46,44087350
04-07-2024,155.14,155.68,153.17,155.33,155.33,43113564
05-07-2024,155.41,157.04,153.46,153.65,153.65,48958292
08-07-2024,153.7,155.25,148.45,148.96,148.96,43966909
09-07-2024,148.38,155.8,146.41,153.66,153.66,51135261
10-07-2024,152.71,158.18,151.37,156.23,156.23,35710201
11-07-2024,156.44,157.79,155.51,156.89,156.89,64381874
12-07-2024,157.12,160.73,155.25,158.6,158.6,46839703
15-07-2024,158.84,159.59,158.32,159.42,159.42,46427782
16-07-2024,159.8,167.12,159.14,165.45,165.45,43303819
17-07-2024,166.41,169.83,164.26,168.14,168.14,45151812
18-07-2024,169.73,171.38,168.69,170.98,170.98,44325826
19-07-2024,170.92,173.22,166.62,168.28,168.28,59093823
22-07-2024,169.5,171.04,167.08,168.41,168.41,62508008
23-07-2024,167.51,169.88,163.23,165.6,165.6,60789668
24-07-2024,166.2,166.4,162.64,164.95,164.95,60678851
25-07-2024,164.25,166.92,163.36,164.79,164.79,36821833
26-07-2024,163.76,167.91,162,165.58,165.58,44393710
29-07-2024,165.63,168.38,163.74,166.17,166.17,41284356
30-07-2024,167.04,170.88,166.19,169.85,169.85,61180423
31-07-2024,170.29,173.77,168.57,171.68,171.68,101232777
01-08-2024,172.24,177.4,171.25,175.04,175.04,45726097
02-08-2024,174.62,175.93,172.8,174.3,174.3,55982489
05-08-2024,172.9,177.03,172.63,176.78,176.78,49336817
06-08-2024,176.84,182.85,176.13,180.72,180.72,42067062
07-08-2024,180.92,181.23,176.67,178.17,178.17,80727329
08-08-2024,176.37,182.71,175.52,180.52,180.52,57237451
09-08-2024,180.41,180.66,175.17,177.75,177.75,61059847
12-08-2024,176.68,181.49,175.88,180.91,180.91,50985985
13-08-2024,181.28,189.31,180.39,187.39,187.39,80465874
14-08-2024,185.97,192.5,183.81,191.36,191.36,49189191
15-08-2024,192.1,194.62,191.64,193.15,193.15,16104791
16-08-2024,192.91,194.17,187.47,189.29,189.29,40026601
19-08-2024,189.41,190.6,185.89,187.72,187.72,68957965
20-08-2024,186.8,188.22,184.93,187.85,187.85,60545241
21-08-2024,187.49,190.87,185.79,188.21,188.21,74032201
22-08-2024,190.21,192.91,182.46,183.64,183.64,31574946
23-08-2024,183.07,185.13,182.07,184.76,184.76,47927622
26-08-2024,185.09,189.84,182.64,188,188,46685084
27-08-2024,188.59,192.09,187.93,191.15,191.15,63967523
28-08-2024,191.13,194.78,188.86,193.58,193.58,56407928
29-08-2024,193.38,198.34,192.03,195.79,195.79,64904996
30-08-2024,197.07,200.17,194.4,199.07,199.07,55252046
02-09-2024,198.94,203.33,197.15,200.46,200.46,45181351
03-09-2024,199.46,211.13,197.16,208.95,208.95,40429736
04-09-2024,209.61,212.15,207.95,211.67,211.67,55909654
05-09-2024,212.7,213.96,208.35,208.91,208.91,53235311
06-09-2024,208.32,212.77,207.81,210.74,210.74,57939598
09-09-2024,210.24,210.7,205.61,208.7,208.7,57784599
10-09-2024,207.24,209.8,199.87,202.76,202.76,46378669
11-09-2024,203.08,204.49,199.23,202,202,72704274
12-09-2024,200.99,202.26,199.47,202.02,202.02,58872622
13-09-2024,202.55,205.48,197.54,198.78,198.78,73392866
16-09-2024,198.38,202.46,195.51,201.63,201.63,57689109
17-09-2024,201.72,204.72,200.05,201.78,201.78,45723882
18-09-2024,202.75,209.26,200.76,207.73,207.73,65467847
19-09-2024,210.01,211.03,207.84,208.6,208.6,45300420
20-09-2024,208.05,209.96,199.43,199.84,199.84,59101071
23-09-2024,200.79,209.64,200.14,207.44,207.44,48077156
24-09-2024,209.34,212.28,199.42,202.07,202.07,69153281
25-09-2024,200.34,203.26,197.71,200.27,200.27,71246468
26-09-2024,201.51,202.88,198.95,199.91,199.91,55062924
27-09-2024,199.46,201.67,198.9,200.2,200.2,62474199
30-09-2024,200.72,201.63,198.63,200.78,200.78,36590629
01-10-2024,201.12,207.72,198.74,206.02,206.02,46018161
02-10-2024,206.08,212.82,204.26,210.98,210.98,52012430
03-10-2024,211.66,217.52,210.82,215.18,215.18,71423578
04-10-2024,213.29,221.27,211.77,219.85,219.85,51767117
07-10-2024,221.5,224.57,219.35,223.11,223.11,55889137
08-10-2024,223.05,224.7,212.45,215.62,215.62,30190694
09-10-2024,214.21,215.79,213.61,215.34,215.34,63036070
10-10-2024,214.33,217.8,213.08,217.03,217.03,54247850
